iter	Logloss
0	0.6838785996
1	0.6738221336
2	0.666020514
3	0.6573061411
4	0.6493473913
5	0.6404621012
6	0.6320714115
7	0.626140261
8	0.6200844092
9	0.6150578817
10	0.6086928997
11	0.6030060821
12	0.5957241655
13	0.5911830038
14	0.5851873981
15	0.5800304404
16	0.5754195037
17	0.5709900972
18	0.5667922959
19	0.5627094834
20	0.5587321604
21	0.5534670119
22	0.5498328681
23	0.546595003
24	0.5416296999
25	0.5386212796
26	0.5350935055
27	0.5322745426
28	0.528640496
29	0.5260256282
30	0.5229013105
31	0.5192496261
32	0.5162190805
33	0.513779981
34	0.5119791114
35	0.5099379128
36	0.508159302
37	0.5067173148
38	0.5040445989
39	0.5023674319
40	0.5002488546
41	0.4987470014
42	0.4960099144
43	0.4941687361
44	0.4928063854
45	0.4912879555
46	0.4894094168
47	0.4878874881
48	0.4862603583
49	0.4842052153
50	0.4829832143
51	0.4810461735
52	0.4796848586
53	0.4783059265
54	0.4771621536
55	0.4758713144
56	0.4745392426
57	0.4722830639
58	0.4706772191
59	0.4699136486
60	0.4689139871
61	0.4677718908
62	0.466485728
63	0.4651380866
64	0.4639156278
65	0.462179942
66	0.4607687399
67	0.4597582759
68	0.458876862
69	0.4586019463
70	0.4576710523
71	0.4569161429
72	0.4556205039
73	0.4544876736
74	0.453512724
75	0.4525938475
76	0.451579505
77	0.4504883494
78	0.4494111628
79	0.4485328546
80	0.4473980973
81	0.4464371598
82	0.4459978945
83	0.4452540306
84	0.4448568302
85	0.4432832715
86	0.4426314717
87	0.4418121221
88	0.440610915
89	0.4398397556
90	0.4389033639
91	0.4379039316
92	0.4374556992
93	0.4367414857
94	0.4357028884
95	0.4356041551
96	0.4347953736
97	0.434278037
98	0.4332712366
99	0.4323126531
100	0.4315611216
101	0.4304293706
102	0.4295893103
103	0.4292023567
104	0.428731326
105	0.428282138
106	0.4276183905
107	0.4268869575
108	0.4259668858
109	0.4253362229
110	0.4246632964
111	0.4244484277
112	0.4236627904
113	0.4230653163
114	0.4227741626
115	0.4221972408
116	0.4213451352
117	0.4203360135
118	0.419774817
119	0.419214398
120	0.4189398103
121	0.4181559306
122	0.416603504
123	0.4160873511
124	0.4154489691
125	0.4145718185
126	0.4142944882
127	0.4129462796
128	0.4123504581
129	0.4114469753
130	0.4100787076
131	0.4091658497
132	0.4085967655
133	0.4079774225
134	0.4071900708
135	0.4069054536
136	0.4064850019
137	0.405984685
138	0.4055204442
139	0.4042994123
140	0.4042595038
141	0.4035481439
142	0.4031900945
143	0.4028702288
144	0.402430687
145	0.402211481
146	0.4018609407
147	0.4015078522
148	0.400928934
149	0.4007082155
150	0.4002728305
151	0.3996141525
152	0.399414306
153	0.3989499196
154	0.3983399143
155	0.397379545
156	0.3961898015
157	0.3956190303
158	0.3952809854
159	0.3946434278
160	0.3945617685
161	0.3939915027
162	0.3938080198
163	0.3931298266
164	0.3928479617
165	0.3925902962
166	0.3922635186
167	0.3914404715
168	0.390886855
169	0.3906828494
170	0.3904385312
171	0.3901244279
172	0.3893437674
173	0.3889480895
174	0.388578605
175	0.387963837
176	0.3874462289
177	0.3866776103
178	0.3860795329
179	0.3853158517
180	0.3848511002
181	0.3840731006
182	0.3836450883
183	0.3832426406
184	0.382933519
185	0.3827691219
186	0.3827040934
187	0.3825897202
188	0.3823964162
189	0.3821734345
190	0.3817383533
191	0.3813836765
192	0.3809870328
193	0.3803643557
194	0.3800670713
195	0.379660434
196	0.379293695
197	0.3787410824
198	0.3785236421
199	0.3781118456
200	0.377934544
201	0.3771985479
202	0.3769216693
203	0.3766860452
204	0.3765993841
205	0.3761975598
206	0.3759634498
207	0.3753036558
208	0.3750515382
209	0.3747492212
210	0.3745424132
211	0.3736101416
212	0.3727982465
213	0.3726950836
214	0.3723175587
215	0.3717990147
216	0.371575003
217	0.3711757406
218	0.3707638188
219	0.3700205426
220	0.3695975047
221	0.3694495375
222	0.369037246
223	0.3686000388
224	0.3683124371
225	0.36774362
226	0.3668606904
227	0.3665653602
228	0.3662742536
229	0.365881107
230	0.3650245857
231	0.3645818064
232	0.3635511591
233	0.3631166746
234	0.3628190913
235	0.3625605913
236	0.361738544
237	0.3614496001
238	0.3611652752
239	0.3608929474
240	0.3602956227
241	0.3598125274
242	0.3590670427
243	0.3586398632
244	0.3581849245
245	0.3580455284
246	0.3575953474
247	0.3573113293
248	0.3570436279
249	0.3567517209
250	0.3564958084
251	0.3563289897
252	0.3557450816
253	0.3553017515
254	0.3551142418
255	0.354659228
256	0.3542491087
257	0.3538362497
258	0.3529880058
259	0.3528306256
260	0.3521608222
261	0.3518889606
262	0.3517359698
263	0.3507776611
264	0.3504572093
265	0.3498022258
266	0.3494855516
267	0.3490925284
268	0.3488316981
269	0.3485724776
270	0.3482492352
271	0.3481633306
272	0.3479858239
273	0.347523032
274	0.347191135
275	0.3467290226
276	0.34642443
277	0.3461060809
278	0.3456314386
279	0.3454398874
280	0.344925099
281	0.3444543533
282	0.3442595138
283	0.3439919185
284	0.3437433632
285	0.3431943928
286	0.343145495
287	0.3427015442
288	0.3425802896
289	0.3422350056
290	0.3421806347
291	0.3417403889
292	0.3412869685
293	0.3405406912
294	0.3403660692
295	0.3401613508
